min_pullback,hard_stop,cooldown_bars,std_pct_filter,period,0
0.01,0.05,8,0.05,90,0.15956954987340766
0.01,0.05,9,0.015,10,-0.2756121969831601
0.01,0.05,9,0.015,20,-0.2756121969831601
0.01,0.05,9,0.015,30,-0.2756121969831601
0.01,0.05,9,0.015,40,-0.2756121969831601
0.01,0.05,9,0.015,50,-0.2756121969831601
0.01,0.05,9,0.015,60,-0.2756121969831601
0.01,0.05,9,0.015,70,-0.2756121969831601
0.01,0.05,9,0.015,80,-0.2756121969831601
0.01,0.05,9,0.015,90,-0.2756121969831601
0.01,0.05,9,0.02,10,-0.06441317382130546
0.01,0.05,9,0.02,20,-0.06441317382130546
0.01,0.05,9,0.02,30,-0.06441317382130546
0.01,0.05,9,0.02,40,-0.06441317382130546
0.01,0.05,9,0.02,50,-0.06441317382130546
0.01,0.05,9,0.02,60,-0.06441317382130546
0.01,0.05,9,0.02,70,-0.06441317382130546
0.01,0.05,9,0.02,80,-0.06441317382130546
0.01,0.05,9,0.02,90,-0.06441317382130546
0.01,0.05,9,0.025,10,-0.4024905349231844
0.01,0.05,9,0.025,20,-0.4024905349231844
0.01,0.05,9,0.025,30,-0.4024905349231844
0.01,0.05,9,0.025,40,-0.4024905349231844
0.01,0.05,9,0.025,50,-0.4024905349231844
0.01,0.05,9,0.025,60,-0.4024905349231844
0.01,0.05,9,0.025,70,-0.4024905349231844
0.01,0.05,9,0.025,80,-0.4024905349231844
0.01,0.05,9,0.025,90,-0.4024905349231844
0.01,0.05,9,0.030000000000000002,10,-0.436597744477704
0.01,0.05,9,0.030000000000000002,20,-0.436597744477704
0.01,0.05,9,0.030000000000000002,30,-0.436597744477704
0.01,0.05,9,0.030000000000000002,40,-0.436597744477704
0.01,0.05,9,0.030000000000000002,50,-0.436597744477704
0.01,0.05,9,0.030000000000000002,60,-0.436597744477704
0.01,0.05,9,0.030000000000000002,70,-0.436597744477704
0.01,0.05,9,0.030000000000000002,80,-0.436597744477704
0.01,0.05,9,0.030000000000000002,90,-0.436597744477704
0.01,0.05,9,0.035,10,-0.39252736187960685
0.01,0.05,9,0.035,20,-0.39252736187960685
0.01,0.05,9,0.035,30,-0.39252736187960685
0.01,0.05,9,0.035,40,-0.39252736187960685
0.01,0.05,9,0.035,50,-0.39252736187960685
0.01,0.05,9,0.035,60,-0.39252736187960685
0.01,0.05,9,0.035,70,-0.39252736187960685
0.01,0.05,9,0.035,80,-0.39252736187960685
0.01,0.05,9,0.035,90,-0.39252736187960685
0.01,0.05,9,0.04000000000000001,10,0.7501662874821344
0.01,0.05,9,0.04000000000000001,20,0.7501662874821344
0.01,0.05,9,0.04000000000000001,30,0.7501662874821344
0.01,0.05,9,0.04000000000000001,40,0.7501662874821344
0.01,0.05,9,0.04000000000000001,50,0.7501662874821344
0.01,0.05,9,0.04000000000000001,60,0.7501662874821344
0.01,0.05,9,0.04000000000000001,70,0.7501662874821344
0.01,0.05,9,0.04000000000000001,80,0.7501662874821344
0.01,0.05,9,0.04000000000000001,90,0.7501662874821344
0.01,0.05,9,0.045000000000000005,10,0.23017185400902493
0.01,0.05,9,0.045000000000000005,20,0.23017185400902493
0.01,0.05,9,0.045000000000000005,30,0.23017185400902493
0.01,0.05,9,0.045000000000000005,40,0.23017185400902493
0.01,0.05,9,0.045000000000000005,50,0.23017185400902493
0.01,0.05,9,0.045000000000000005,60,0.23017185400902493
